"Config","Group","Name","Tags","Stars","Stackable","Description","Autospawn Type","Sprite Food Role","Icon","Notes"
"Weapon/Sword/Beast Basher","Sword","Beast Basher","",0,false,"A powerful pick modified to add an extra helping of hurt to beast family monsters.","--","--","ui/icon/inventory/weapon/sword/beast_basher.png",""
"Weapon/Sword/Hatchet","Sword","Hatchet","",0,false,"A heavy blade used to chop vines and foliage in the wilderness surrounding the Rescue Camp.","--","--","ui/icon/inventory/weapon/sword/hatchet.png",""
"Weapon/Sword/Proto Blade","Sword","Proto Blade","",0,false,"A swift, compact utility blade issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/weapon/sword/proto_blade.png",""
"Weapon/Sword/Proto Sword","Sword","Proto Sword","",0,false,"A small sword issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/weapon/sword/proto_sword.png",""
"Weapon/Sword/Robo Wrecker","Sword","Robo Wrecker","",0,false,"A wrench-like tool thought to be of gremlin design.  Though its origin is mysterious, its abilty to destroy constructs is well-documented.","--","--","ui/icon/inventory/weapon/sword/robo_wrecker.png",""
"Weapon/Sword/Slime Slasher","Sword","Slime Slasher","",0,false,"A sturdy shovel modified to dole out a little extra damage to slime family monsters.","--","--","ui/icon/inventory/weapon/sword/slime_slasher.png",""
"Weapon/Sword/Big Beast Basher","Sword","Big Beast Basher","fam_beast",1,false,"It was suggested that this brutally sharp mining pick could probably be used to hunt both beasts AND minerals. The Clockworks were never the same.","GEAR","--","ui/icon/inventory/weapon/sword/big_beast_basher.png",""
"Weapon/Sword/Bolted Blade","Sword","Bolted Blade","vanilla",1,false,"An upgraded Proto Sword reinforced with bronze bolts scavenged from the Clockworks.","GEAR","--","ui/icon/inventory/weapon/sword/bolted_blade.png",""
"Weapon/Sword/Heavy Hatchet","Sword","Heavy Hatchet","vanilla",1,false,"A big blade intended to fell trees. Unsurprisingly, you can also use it to fell enemies, blocks, mineral deposits and most anything else you'd care to hit with it.","GEAR","--","ui/icon/inventory/weapon/sword/heavy_hatchet.png",""
"Weapon/Sword/Hot Edge","Sword","Hot Edge","sc_fire",1,false,"A modified Proto Sword capable of generating temperatures high enough to burn organic material.","GEAR","--","ui/icon/inventory/weapon/sword/hot_edge.png",""
"Weapon/Sword/Red Saber","Sword","Red Saber","",1,false,"A saber the color of the burning sun that is given to knights who have shown exemplary bravery in past actions.","--","--","ui/icon/inventory/weapon/sword/red_saber.png",""
"Weapon/Sword/Rocket Hammer 1","Sword","Prototype Rocket Hammer","",1,false,"Designed by Warmaster Seerus himself, this nefarious gremlin weapon is equipped with a rocket engine that can launch the wielder forward with a powerful hammer smash.  This particular model is a prototype version.","--","--","ui/icon/inventory/weapon/sword/rocket_hammer_1.png",""
"Weapon/Sword/Rugged Robo Wrecker","Sword","Rugged Robo Wrecker","",1,false,"An upgraded robo wrecker that has assisted a great many constructs in becoming smoldering, scrap metal heaps.","--","--","ui/icon/inventory/weapon/sword/rugged_robo_wrecker.png",""
"Weapon/Sword/Static Edge","Sword","Static Edge","sc_shock",1,false,"A modified Proto Sword capable of generating a low-intensity electrical charge.","GEAR","--","ui/icon/inventory/weapon/sword/static_edge.png",""
"Weapon/Sword/Super Slime Slasher","Sword","Super Slime Slasher","fam_slime",1,false,"A shovel with a wicked edge that's especially well-suited to fighting slimes in the trenches.","GEAR","--","ui/icon/inventory/weapon/sword/super_slime_slasher.png",""
"Weapon/Sword/Thwack Hammer","Sword","Thwack Hammer","fam_gremlin",1,false,"A spirited spanner specially suited to scrapping mechanical enemies.","GEAR","--","ui/icon/inventory/weapon/sword/thwack_hammer.png",""
"Weapon/Sword/Brandish","Sword","Brandish","fam_beast fam_slime fam_undead sc_freeze vanilla",2,false,"A reliable blade whose lack of ornamentation belies its strength.","GEAR","--","ui/icon/inventory/weapon/sword/bandish.png",""
"Weapon/Sword/Calibur","Sword","Calibur","",2,false,"A standard issue sword awarded to Spiral Knights who have proven themselves in the field.","--","--","ui/icon/inventory/weapon/sword/calibur.png",""
"Weapon/Sword/Cutter","Sword","Cutter","fam_beast",2,false,"A bandit's sword with a vicious row of jagged teeth.","GEAR","--","ui/icon/inventory/weapon/sword/cutter.png",""
"Weapon/Sword/Flourish","Sword","Flourish","",2,false,"A stylish saber well-appointed to foiling your enemies.","--","--","ui/icon/inventory/weapon/sword/flourish.png",""
"Weapon/Sword/Honor Blade 1","Sword","Honor Blade","",2,false,"A ceremonial sword issued to Spiral Knight recruits. Though intended for formal occasions, its fine edge makes it suitable for combat use.","--","--","ui/icon/inventory/weapon/sword/honor_blade_1.png",""
"Weapon/Sword/Searing Edge","Sword","Searing Edge","sc_fire",2,false,"A light blade that sets foes ablaze as it slashes. The technology that keeps the hilt from catching fire is more advanced than the sword itself.","GEAR","--","ui/icon/inventory/weapon/sword/searing_edge.png",""
"Weapon/Sword/Shocking Edge","Sword","Shocking Edge","sc_shock",2,false,"A light blade that can deliver a painful shock to its victims. Youthful knights enjoy waving these around on holidays.","GEAR","--","ui/icon/inventory/weapon/sword/shocking_edge.png",""
"Weapon/Sword/Snarble Barb","Sword","Snarble Barb","",2,false,"A bestial blade that can shoot slithy spines at those who would oppose its wielder.","--","--","ui/icon/inventory/weapon/sword/snarble_barb.png",""
"Weapon/Sword/Spur","Sword","Spur","fam_construct",2,false,"A mechanized sword with a built in motor that generates energy bursts when used.","GEAR","--","ui/icon/inventory/weapon/sword/spur.png",""
"Weapon/Sword/Troika","Sword","Troika","fam_fiend",2,false,"A low-tech sword that makes up for its lack of high internal power with sheer weight and size. It is capable of delivering crushing blows for those that can handle it.","GEAR","--","ui/icon/inventory/weapon/sword/troika.png",""
